,price,superficie,chambres,bains,city
703,230000.0,100.0,2,1,tunis
710,340000.0,133.0,3,3,sousse
714,180000.0,90.0,2,1,sousse
715,230640.0,76.0,2,1,sousse
716,349000.0,115.0,4,2,sousse
718,290000.0,90.0,1,1,sousse
719,880000.0,310.0,4,3,sousse
720,65000.0,70.0,2,1,sousse
723,297000.0,120.0,3,2,tunis
724,295000.0,140.0,1,1,tunis
725,1050000.0,230.0,2,5,tunis
730,980000.0,515.0,6,2,tunis
731,220000.0,104.0,2,1,tunis
732,270000.0,160.0,3,1,tunis
733,480000.0,294.0,4,2,tunis
734,121000.0,45.0,0,1,tunis
735,185000.0,65.0,1,1,tunis
737,98000.0,115.0,3,2,sousse
738,140000.0,110.0,2,1,sousse
743,285000.0,125.0,4,1,tunis
744,70000.0,75.0,2,1,sousse
746,950000.0,70.0,1,1,tunis
751,190000.0,120.0,2,1,ariana
756,320000.0,100.0,3,1,monastir
757,270000.0,103.0,2,1,monastir
762,2000000.0,696.0,8,5,medenine
776,290000.0,100.0,2,1,nabeul
777,365000.0,100.0,4,1,monastir
778,380000.0,120.0,3,1,monastir
779,150000.0,60.0,2,1,monastir
785,160000.0,90.0,2,1,monastir
788,219999.0,61.0,1,1,ariana
793,120000.0,40.0,1,1,ariana
794,785000.0,204.0,3,1,nabeul
796,385000.0,102.0,2,1,nabeul
798,285000.0,57.0,1,1,nabeul
799,230000.0,55.0,1,1,nabeul
805,349000.0,120.0,2,1,tunis
810,475000.0,146.0,3,3,sousse
811,540000.0,167.0,2,3,sousse
812,550000.0,175.0,3,3,sousse
813,420000.0,160.0,3,3,sousse
814,320000.0,118.0,2,2,sousse
815,300000.0,116.0,2,1,sousse
816,370000.0,128.0,2,1,sousse
817,447000.0,160.0,3,3,sousse
818,375000.0,140.0,3,2,sousse
819,395000.0,134.0,3,2,sousse
820,425000.0,123.0,2,2,sousse
821,365000.0,116.0,2,2,sousse
822,510000.0,150.0,3,3,sousse
823,458000.0,122.0,2,1,sousse
824,294998.0,97.0,2,2,sousse
825,620000.0,535.0,0,1,sousse
827,630000.0,286.0,4,2,sousse
834,88000.0,70.0,3,1,ben arous
844,80000.0,70.0,1,1,ben arous
851,222000.0,143.0,3,2,sfax
861,1600000.0,491.0,8,2,tunis
889,180000.0,65.0,3,1,tunis
894,168000.0,120.0,2,1,ariana
896,230000.0,91.0,2,1,tunis
897,280000.0,269.0,4,1,tunis
910,320000.0,106.0,4,2,ariana
916,2700000.0,640.0,9,3,nabeul
918,607000.0,113.0,3,2,ariana
922,400000.0,452.0,1,2,medenine
933,370000.0,120.0,3,2,sousse
944,215000.0,66.0,2,1,tunis
951,2000000.0,270.0,3,1,ben arous
954,720000.0,300.0,0,1,bizerte
959,420000.0,150.0,3,2,tunis
969,529999.0,300.0,4,4,tunis
981,450000.0,250.0,7,3,ben arous
1023,399000.0,124.0,2,1,tunis
1032,120000.0,100.0,2,1,nabeul
1041,160000.0,128.0,3,1,sousse
1042,490000.0,499.0,3,2,sousse
1045,350000.0,86.0,2,1,sousse
1046,170000.0,131.0,2,1,ariana
1047,125000.0,97.0,2,1,tunis
1049,219000.0,66.0,2,1,tunis
1050,245000.0,450.0,3,2,mahdia
1051,865000.0,330.0,4,2,mahdia
1052,135000.0,200.0,0,1,ariana
1054,260000.0,420.0,2,3,mahdia
1062,650000.0,184.0,3,1,tunis
1069,950000.0,220.0,3,3,tunis
1074,370000.0,91.0,2,1,tunis
1081,590000.0,530.0,3,1,sousse
1083,1450000.0,130.0,3,1,tunis
1084,290000.0,120.0,3,1,monastir
1085,300000.0,92.0,2,1,tunis
1091,515000.0,111.0,2,1,monastir
1096,180000.0,175.0,3,1,tunis
1100,160000.0,102.0,2,1,monastir
1105,175000.0,51.0,1,1,ariana
1111,125000.0,90.0,2,1,ben arous
1113,169999.0,101.0,3,2,ariana
1115,159998.0,100.0,2,2,bizerte
1119,179000.0,43.0,1,1,ariana
1122,205000.0,95.0,2,1,nabeul
1123,390000.0,140.0,4,1,tunis
1128,200000.0,95.0,3,1,bizerte
1152,335000.0,65.0,1,1,tunis
1153,450000.0,200.0,4,2,bizerte
1159,700000.0,368.0,7,2,bizerte
1166,415000.0,97.0,2,1,nabeul
1178,350000.0,143.0,3,2,sousse
1184,260000.0,71.0,2,1,nabeul
1186,125000.0,100.0,4,1,ariana
1187,370000.0,317.0,7,2,manouba
1191,525000.0,161.0,3,2,nabeul
1196,249000.0,103.0,2,1,sousse
1197,85000.0,80.0,2,1,sousse
1198,114000.0,60.0,1,1,sousse
1199,392000.0,134.0,3,2,sousse
1200,420000.0,149.0,4,3,sousse
1203,240000.0,116.0,2,1,sousse
1205,297000.0,119.0,2,1,tunis
1206,960000.0,180.0,3,1,ariana
1208,540000.0,151.0,3,1,ariana
1213,380000.0,105.0,2,1,tunis
1215,150000.0,156.0,3,1,tunis
1216,410000.0,200.0,3,2,nabeul
1218,220000.0,118.0,2,1,tunis
1219,680000.0,500.0,4,2,sousse
1220,1300000.0,400.0,7,3,tunis
1221,365000.0,160.0,9,3,tunis
1234,800000.0,225.0,5,2,tunis
1236,155000.0,100.0,3,1,tunis
1237,620000.0,325.0,6,3,tunis
1238,215000.0,63.0,1,1,tunis
1242,560000.0,472.0,4,2,tunis
1247,235000.0,90.0,2,1,tunis
1254,240000.0,100.0,2,1,tunis
1266,265000.0,88.0,1,1,tunis
1270,890000.0,285.0,4,4,tunis
1273,569000.0,125.0,2,2,ariana
1282,650000.0,156.0,3,2,ariana
