price,superficie,chambres,bains,city
178000.0,257.0,2,1.0,Ariana
1350000.0,100.0,2,1.0,Tunis
460000.0,183.0,4,2.0,Ariana
449996.0,252.0,1,2.0,Bizerte
450000.0,186.0,8,2.0,Tunis
364999.0,105.0,0,1.0,tunis
180000.0,105.0,2,1.0,Nabeul
380000.0,168.0,2,2.0,Ben Arous
620000.0,157.4,3,3.0,Sousse
215000.0,67.89,1,1.0,Sousse
360000.0,150.0,3,2.0,Ariana
580000.0,486.0,5,2.0,Ariana
230000.0,100.0,2,1.0,tunis
340000.0,133.0,3,3.0,Sousse
180000.0,90.0,2,1.0,Sousse
230640.0,76.0,2,1.0,Sousse
349000.0,115.0,4,2.0,Sousse
290000.0,90.0,1,1.0,Sousse
880000.0,310.0,4,3.0,Sousse
65000.0,70.0,2,1.0,Sousse
297000.0,120.0,3,2.0,tunis
295000.0,140.0,1,1.0,Tunis
1050000.0,230.0,2,5.0,tunis
980000.0,515.0,6,2.0,Tunis
220000.0,104.0,2,1.0,Tunis
270000.0,160.0,3,1.0,tunis
480000.0,294.0,4,2.0,Tunis
121000.0,45.0,0,1.0,tunis
185000.0,65.0,1,1.0,Tunis
98000.0,115.0,3,2.0,Sousse
140000.0,110.0,2,1.0,sousse
285000.0,125.0,4,1.0,tunis
70000.0,75.0,2,1.0,Sousse
950000.0,70.0,1,1.0,Tunis
190000.0,120.0,2,1.0,Ariana
320000.0,100.0,3,1.0,Monastir
270000.0,103.0,2,1.0,Monastir
2000000.0,696.0,8,5.0,Médenine
290000.0,100.0,2,1.0,Nabeul
365000.0,100.0,4,1.0,Monastir
380000.0,120.0,3,1.0,Monastir
150000.0,60.0,2,1.0,Monastir
160000.0,90.0,2,1.0,Monastir
219999.0,61.0,1,1.0,Ariana
120000.0,40.0,1,1.0,Ariana
785000.0,204.0,3,1.0,Nabeul
385000.0,102.0,2,1.0,Nabeul
285000.0,57.0,1,1.0,Nabeul
230000.0,55.0,1,1.0,Nabeul
349000.0,120.0,2,1.0,Tunis
475000.0,146.0,3,3.0,Sousse
540000.0,167.0,2,3.0,Sousse
550000.0,175.0,3,3.0,Sousse
420000.0,160.0,3,3.0,Sousse
320000.0,118.0,2,2.0,Sousse
300000.0,116.0,2,1.0,Sousse
370000.0,128.0,2,1.0,Sousse
447000.0,160.0,3,3.0,sousse
375000.0,140.0,3,2.0,Sousse
395000.0,134.0,3,2.0,Sousse
425000.0,123.0,2,2.0,Sousse
365000.0,116.0,2,2.0,Sousse
510000.0,150.0,3,3.0,Sousse
458000.0,122.0,2,1.0,Sousse
294998.0,97.0,2,2.0,Sousse
620000.0,535.0,0,1.0,Sousse
630000.0,286.0,4,2.0,Sousse
88000.0,70.0,3,1.0,Ben Arous
240000.0,90.0,2,1.0,Ben Arous
80000.0,70.0,1,1.0,Ben Arous
280000.0,69.0,1,1.0,Nabeul
222000.0,143.0,3,2.0,Sfax
1600000.0,491.0,8,2.0,Tunis
180000.0,65.0,3,1.0,Tunis
168000.0,120.0,2,1.0,Ariana
230000.0,91.0,2,1.0,Tunis
280000.0,269.0,4,1.0,Tunis
320000.0,106.0,4,2.0,Ariana
320000.0,106.0,4,2.0,Ariana
2700000.0,640.0,9,3.0,Nabeul
607000.0,113.0,3,2.0,Ariana
400000.0,452.0,1,2.0,Médenine
370000.0,120.0,3,2.0,Sousse
215000.0,66.0,2,1.0,Tunis
2000000.0,270.0,3,1.0,Ben Arous
720000.0,300.0,0,1.0,Bizerte
420000.0,150.0,3,2.0,Tunis
529999.0,300.0,4,4.0,Tunis
450000.0,250.0,7,3.0,Ben Arous
399000.0,124.0,2,1.0,Tunis
120000.0,100.0,2,1.0,Nabeul
160000.0,128.0,3,1.0,Sousse
490000.0,499.0,3,2.0,Sousse
350000.0,86.0,2,1.0,Sousse
170000.0,131.0,2,1.0,Ariana
125000.0,97.0,2,1.0,tunis
219000.0,66.0,2,1.0,Tunis
245000.0,450.0,3,2.0,Mahdia
865000.0,330.0,4,2.0,Mahdia
135000.0,200.0,0,1.0,Ariana
260000.0,420.0,2,3.0,Mahdia
650000.0,184.0,3,1.0,Tunis
950000.0,220.0,3,3.0,Tunis
370000.0,91.0,2,1.0,tunis
590000.0,530.0,3,1.0,Sousse
1450000.0,130.0,3,1.0,Tunis
290000.0,120.0,3,1.0,Monastir
300000.0,92.0,2,1.0,tunis
515000.0,111.0,2,1.0,Monastir
180000.0,175.0,3,1.0,Tunis
160000.0,102.0,2,1.0,Monastir
175000.0,51.0,1,1.0,Ariana
125000.0,90.0,2,1.0,Ben Arous
169999.0,101.0,3,2.0,Ariana
159998.0,100.0,2,2.0,Bizerte
179000.0,43.0,1,1.0,Ariana
205000.0,95.0,2,1.0,Nabeul
390000.0,140.0,4,1.0,Tunis
200000.0,95.0,3,1.0,Bizerte
335000.0,65.0,1,1.0,Tunis
450000.0,200.0,4,2.0,Bizerte
700000.0,368.0,7,2.0,Bizerte
415000.0,97.0,2,1.0,Nabeul
421000.0,364.0,3,1.0,Béja
350000.0,143.0,3,2.0,Sousse
