price,superficie,bains,chambres
114000.0,60.0,1,1
392000.0,134.0,2,3
420000.0,149.0,3,4
240000.0,116.0,1,2
297000.0,119.0,0,2
960000.0,180.0,0,3
540000.0,151.0,0,3
380000.0,105.0,1,2
150000.0,156.0,1,3
410000.0,200.0,2,3
220000.0,118.0,1,2
1300000.0,400.0,3,7
365000.0,160.0,3,9
800000.0,225.0,2,5
155000.0,100.0,1,3
620000.0,325.0,3,6
215000.0,63.0,1,1
560000.0,472.0,2,4
310000.0,260.0,3,5
235000.0,90.0,1,2
240000.0,100.0,1,2
297000.0,93.0,1,2
265000.0,88.0,0,1
890000.0,285.0,4,4
569000.0,125.0,2,2
650000.0,156.0,2,3
270000.0,94.0,1,2
398000.0,102.0,1,1
325000.0,135.0,1,3
325000.0,135.0,1,3
270000.0,94.0,1,2
175000.0,90.0,1,2
199000.0,85.0,1,2
190000.0,100.0,1,2
215000.0,125.0,2,2
270000.0,94.0,1,2
327597.0,84.0,1,1
185000.0,100.0,1,2
1000000.0,400.0,4,6
350000.0,100.0,2,3
200000.0,67.0,0,2
506000.0,156.0,1,3
335000.0,110.0,2,3
85000.0,90.0,1,2
235000.0,94.0,2,2
160000.0,54.0,1,1
171000.0,68.0,1,1
450000.0,138.0,2,3
450000.0,138.0,2,3
115000.0,50.0,1,1
1300000.0,292.0,5,7
180000.0,54.0,1,1
280000.0,92.0,1,1
890000.0,315.0,2,2
350000.0,116.0,2,2
260000.0,65.0,1,1
90000.0,45.0,1,1
257400.0,66.0,1,3
200000.0,100.0,1,2
650000.0,425.0,3,7
680000.0,124.0,2,2
264000.0,69.5,1,1
170000.0,89.5,1,2
240000.0,82.0,1,2
200000.0,120.0,1,2
570002.0,554.0,3,4
280000.0,120.0,2,4
800000.0,413.0,2,8
435000.0,210.0,0,4
650000.0,520.0,2,6
750000.0,597.0,2,3
480000.0,185.0,4,4
790000.0,418.0,4,7
1450000.0,497.0,7,7
271000.0,90.0,1,2
187000.0,113.0,1,2
380000.0,310.0,2,4
366000.0,140.0,2,3
267000.0,67.0,1,2
235000.0,56.0,1,1
630000.0,160.0,2,4
