price,superficie,chambres,bains,city
230000.0,100.0,2,1.0,tunis
340000.0,133.0,3,3.0,sousse
180000.0,90.0,2,1.0,sousse
230640.0,76.0,2,1.0,sousse
349000.0,115.0,4,2.0,sousse
290000.0,90.0,1,1.0,sousse
880000.0,310.0,4,3.0,sousse
65000.0,70.0,2,1.0,sousse
297000.0,120.0,3,2.0,tunis
295000.0,140.0,1,1.0,tunis
1050000.0,230.0,2,5.0,tunis
980000.0,515.0,6,2.0,tunis
220000.0,104.0,2,1.0,tunis
270000.0,160.0,3,1.0,tunis
480000.0,294.0,4,2.0,tunis
121000.0,45.0,0,1.0,tunis
185000.0,65.0,1,1.0,tunis
98000.0,115.0,3,2.0,sousse
140000.0,110.0,2,1.0,sousse
285000.0,125.0,4,1.0,tunis
70000.0,75.0,2,1.0,sousse
950000.0,70.0,1,1.0,tunis
190000.0,120.0,2,1.0,ariana
320000.0,100.0,3,1.0,monastir
270000.0,103.0,2,1.0,monastir
2000000.0,696.0,8,5.0,medenine
290000.0,100.0,2,1.0,nabeul
365000.0,100.0,4,1.0,monastir
380000.0,120.0,3,1.0,monastir
150000.0,60.0,2,1.0,monastir
160000.0,90.0,2,1.0,monastir
219999.0,61.0,1,1.0,ariana
120000.0,40.0,1,1.0,ariana
785000.0,204.0,3,1.0,nabeul
385000.0,102.0,2,1.0,nabeul
285000.0,57.0,1,1.0,nabeul
230000.0,55.0,1,1.0,nabeul
349000.0,120.0,2,1.0,tunis
475000.0,146.0,3,3.0,sousse
540000.0,167.0,2,3.0,sousse
550000.0,175.0,3,3.0,sousse
420000.0,160.0,3,3.0,sousse
320000.0,118.0,2,2.0,sousse
300000.0,116.0,2,1.0,sousse
370000.0,128.0,2,1.0,sousse
447000.0,160.0,3,3.0,sousse
375000.0,140.0,3,2.0,sousse
395000.0,134.0,3,2.0,sousse
425000.0,123.0,2,2.0,sousse
365000.0,116.0,2,2.0,sousse
510000.0,150.0,3,3.0,sousse
458000.0,122.0,2,1.0,sousse
294998.0,97.0,2,2.0,sousse
620000.0,535.0,0,1.0,sousse
630000.0,286.0,4,2.0,sousse
88000.0,70.0,3,1.0,ben arous
80000.0,70.0,1,1.0,ben arous
222000.0,143.0,3,2.0,sfax
1600000.0,491.0,8,2.0,tunis
180000.0,65.0,3,1.0,tunis
168000.0,120.0,2,1.0,ariana
230000.0,91.0,2,1.0,tunis
280000.0,269.0,4,1.0,tunis
320000.0,106.0,4,2.0,ariana
2700000.0,640.0,9,3.0,nabeul
607000.0,113.0,3,2.0,ariana
400000.0,452.0,1,2.0,medenine
370000.0,120.0,3,2.0,sousse
215000.0,66.0,2,1.0,tunis
2000000.0,270.0,3,1.0,ben arous
720000.0,300.0,0,1.0,bizerte
420000.0,150.0,3,2.0,tunis
529999.0,300.0,4,4.0,tunis
450000.0,250.0,7,3.0,ben arous
399000.0,124.0,2,1.0,tunis
120000.0,100.0,2,1.0,nabeul
160000.0,128.0,3,1.0,sousse
490000.0,499.0,3,2.0,sousse
350000.0,86.0,2,1.0,sousse
170000.0,131.0,2,1.0,ariana
125000.0,97.0,2,1.0,tunis
219000.0,66.0,2,1.0,tunis
245000.0,450.0,3,2.0,mahdia
865000.0,330.0,4,2.0,mahdia
135000.0,200.0,0,1.0,ariana
260000.0,420.0,2,3.0,mahdia
650000.0,184.0,3,1.0,tunis
950000.0,220.0,3,3.0,tunis
370000.0,91.0,2,1.0,tunis
590000.0,530.0,3,1.0,sousse
1450000.0,130.0,3,1.0,tunis
290000.0,120.0,3,1.0,monastir
300000.0,92.0,2,1.0,tunis
515000.0,111.0,2,1.0,monastir
180000.0,175.0,3,1.0,tunis
160000.0,102.0,2,1.0,monastir
175000.0,51.0,1,1.0,ariana
125000.0,90.0,2,1.0,ben arous
169999.0,101.0,3,2.0,ariana
159998.0,100.0,2,2.0,bizerte
179000.0,43.0,1,1.0,ariana
205000.0,95.0,2,1.0,nabeul
390000.0,140.0,4,1.0,tunis
200000.0,95.0,3,1.0,bizerte
335000.0,65.0,1,1.0,tunis
450000.0,200.0,4,2.0,bizerte
700000.0,368.0,7,2.0,bizerte
415000.0,97.0,2,1.0,nabeul
350000.0,143.0,3,2.0,sousse
260000.0,71.0,2,1.0,nabeul
125000.0,100.0,4,1.0,ariana
370000.0,317.0,7,2.0,manouba
525000.0,161.0,3,2.0,nabeul
249000.0,103.0,2,1.0,sousse
85000.0,80.0,2,1.0,sousse
114000.0,60.0,1,1.0,sousse
392000.0,134.0,3,2.0,sousse
420000.0,149.0,4,3.0,sousse
240000.0,116.0,2,1.0,sousse
297000.0,119.0,2,1.0,tunis
960000.0,180.0,3,1.0,ariana
540000.0,151.0,3,1.0,ariana
380000.0,105.0,2,1.0,tunis
150000.0,156.0,3,1.0,tunis
410000.0,200.0,3,2.0,nabeul
220000.0,118.0,2,1.0,tunis
680000.0,500.0,4,2.0,sousse
1300000.0,400.0,7,3.0,tunis
365000.0,160.0,9,3.0,tunis
800000.0,225.0,5,2.0,tunis
155000.0,100.0,3,1.0,tunis
620000.0,325.0,6,3.0,tunis
215000.0,63.0,1,1.0,tunis
560000.0,472.0,4,2.0,tunis
235000.0,90.0,2,1.0,tunis
240000.0,100.0,2,1.0,tunis
